DATE,AMOUNT
7/15/24,-1950
7/22/24,5559
8/12/24,-1620
8/15/24,2450
8/15/24,-1200
8/19/24,1020
8/20/24,-1078
8/20/24,990
8/20/24,-133.5
8/20/24,68.75
8/20/24,72.75
8/21/24,-463
8/21/24,455
8/21/24,-280
8/21/24,308
8/21/24,-6950
8/21/24,702
8/21/24,702
8/21/24,702
8/21/24,702
8/21/24,702
8/21/24,703
8/21/24,704
8/21/24,704
8/21/24,705
8/21/24,704
8/22/24,-257
8/22/24,261
8/22/24,-1055
8/22/24,1105
8/22/24,-876
8/22/24,876
8/22/24,-341
8/22/24,340
8/23/24,-1118
8/23/24,1180
8/23/24,-241.5
8/23/24,227.5
8/23/24,-252
8/23/24,272
8/23/24,-278
8/23/24,-285
8/23/24,582
8/23/24,-303
8/23/24,309
8/23/24,-333
8/23/24,327
8/23/24,-349
8/23/24,313
8/23/24,-292
8/23/24,-296
8/23/24,566
8/23/24,-843
8/23/24,825
8/23/24,-885
8/23/24,885
8/23/24,-912
8/23/24,888
8/23/24,-2127
8/23/24,2238
8/23/24,-223
8/23/24,218
8/26/24,-2700
8/26/24,2660
8/26/24,-2670
8/26/24,2660
8/26/24,-2420
8/26/24,2430
8/26/24,-7200
8/26/24,7140
8/26/24,-5730
8/26/24,5250
8/26/24,-5370
8/26/24,5130
8/26/24,-8010
8/26/24,7230
8/27/24,-4970
8/27/24,5080
8/27/24,-1940
8/27/24,-1930
8/27/24,1930
8/27/24,1930
8/27/24,-1220
8/27/24,1220
8/27/24,-2120
8/27/24,2150
8/28/24,-260
8/28/24,320
